global_epoch,training_stage,stage_epoch,train_accuracy,train_precision,train_recall,train_f1,train_tss,train_hss,train_tp,train_tn,train_fp,train_fn,train_loss,train_classification_loss,train_ewc_loss,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_tss,holdout_hss,holdout_tp,holdout_tn,holdout_fp,holdout_fn,holdout_loss,learning_rate,epoch_seconds
58,2,28,0.8612086776859504,0.8886295431810604,0.8259297520661157,0.8561332119719441,0.7224173553719009,0.7224173553719008,7995,8678,1002,1685,0.3347062156220113,0.32891521677990593,0.005790999453237727,0.8780082987551867,0.2887700534759358,0.25116279069767444,0.26865671641791045,0.1905705355723897,0.20246282684796435,54,2062,133,161,0.37108939292519916,0.001,24.59330515563488
59,2,29,0.8621900826446282,0.8935788055680287,0.8223140495867769,0.8564665375511082,0.7243801652892562,0.7243801652892562,7960,8732,948,1720,0.32932441475962804,0.3233385157486624,0.0059858988385555175,0.5589211618257262,0.12344582593250444,0.6465116279069767,0.20730797912005966,0.1968533135561794,0.06762191415874771,139,1208,987,76,0.8266532792095327,0.001,24.58255112916231
60,2,30,0.8663739669421487,0.8952412793937368,0.8298553719008265,0.8613091727872192,0.7327479338842976,0.7327479338842975,8033,8740,940,1647,0.3203998646460289,0.31421436990095564,0.006185494775091074,0.8580912863070539,0.2690909090909091,0.34418604651162793,0.3020408163265306,0.2526142925252953,0.22437302968992612,74,1994,201,141,0.4632432497883239,0.001,24.64834821410477
61,3,1,0.8766060251107288,0.8994448111193074,0.848017863025733,0.8729746024568543,0.7532120502214577,0.7532120502214575,23167,24729,2590,4152,0.3251156533980571,0.318682163206514,0.006433490406058563,0.619274241522903,0.30892255892255893,0.7252964426877471,0.43329397874852427,0.3179533516433412,0.21130340011045348,734,2389,1642,278,0.9213448476896573,0.001,68.77398359309882
62,3,2,0.8934990299791354,0.906703995157385,0.877264907207438,0.8917415489944371,0.7869980599582708,0.7869980599582708,23966,24853,2466,3353,0.27700528693262866,0.2701392827085836,0.006866004131182103,0.5903232203053738,0.3030642750373692,0.8013833992094862,0.43980477223427333,0.3387190479318876,0.20963787971197873,811,2166,1865,201,0.9515372108259585,0.001,68.33105003554374
63,3,3,0.9031260295032761,0.9094660916121357,0.8953841648669424,0.9023701927510837,0.8062520590065522,0.8062520590065522,24461,24884,2435,2858,0.2524370050254881,0.24491803179574775,0.007518973473693072,0.6329565734681737,0.3220195163343233,0.75,0.45057880676758677,0.3535723145621434,0.23607786338643486,759,2433,1598,253,0.8794136947896624,0.001,68.49563814513385
64,3,4,0.9106848713349683,0.9141718040533058,0.9064753468282148,0.9103073077488605,0.8213697426699367,0.8213697426699367,24764,24994,2325,2555,0.23328774569106053,0.2251518757212646,0.008135869721547787,0.6398968867737458,0.3249128919860627,0.7371541501976284,0.45102781136638453,0.35263417996691643,0.2390543026504054,746,2481,1550,266,0.9073164161474204,0.001,68.52414614055306
65,3,5,0.917676342472272,0.9184728793046539,0.9167246238881365,0.917597918880299,0.8353526849445441,0.8353526849445441,25044,25096,2223,2275,0.219040170662107,0.2101842342150142,0.00885593697692974,0.6305770374776919,0.3185501066098081,0.7381422924901185,0.44504021447721176,0.3417146070522619,0.22883901768281578,747,2433,1598,265,0.9424301556191693,0.001,68.38201258517802
66,3,6,0.9242102565979721,0.9232960771422309,0.9252900911453568,0.9242920087024882,0.8484205131959442,0.8484205131959442,25278,25219,2100,2041,0.20455307783064308,0.1950038542843584,0.009549223476705658,0.6103509815585961,0.30447271235125156,0.733201581027668,0.43026964337489126,0.31271038777537324,0.20474769756305744,742,2336,1695,270,0.9342966094168375,0.001,68.48959323950112
67,3,7,0.92896884951865,0.9277319512373166,0.9304147296753176,0.9290714037684814,0.8579376990373001,0.8579376990373,25418,25339,1980,1901,0.19225480545011758,0.182017555398357,0.01023725026711124,0.5917112829664882,0.3032694475760992,0.7974308300395256,0.4394228151374897,0.33749533016356437,0.2096005389327533,807,2177,1854,205,1.085046090276503,0.001,68.462273218669
68,3,8,0.9307624730041363,0.9289254993439277,0.9329038398184414,0.9309104191398047,0.8615249460082727,0.8615249460082727,25486,25369,1950,1833,0.19122266054596349,0.18012003049856048,0.011102629755961988,0.6206623041840175,0.3103157894736842,0.7282608695652174,0.4351933864777089,0.3219100881214069,0.2139855646747367,737,2393,1638,275,0.993043391742056,0.001,68.42351730633527
69,3,9,0.9392181265785717,0.936422492180112,0.9424210256597972,0.9394121832412019,0.8784362531571435,0.8784362531571434,25746,25571,1748,1573,0.17118012852757605,0.15959269055944833,0.011587437948184686,0.6452508427523299,0.310948905109489,0.6314229249011858,0.41669383762634493,0.2801453262904192,0.20213324517992873,639,2615,1416,373,0.8832570152778652,0.001,68.35647196695209
70,3,10,0.9447637175592078,0.9420774968164454,0.9478018961162561,0.9449310269323407,0.8895274351184158,0.8895274351184157,25893,25727,1592,1426,0.1623067103271503,0.15002450157129954,0.012282209223063147,0.62819750148721,0.30589293747188484,0.6719367588932806,0.42040185471406494,0.2891533304636106,0.1996764553605141,680,2488,1543,332,1.0287313635977942,0.001,68.36099003069103
71,3,11,0.9473443391046524,0.9434325108853411,0.9517551886965115,0.9475755753566938,0.8946886782093049,0.8946886782093049,26001,25760,1559,1318,0.157610184522271,0.14474798851510154,0.012862196018726192,0.6738052746381122,0.32128740824393,0.5622529644268774,0.40891124685591085,0.26406392944796403,0.20616229504510217,569,2829,1202,443,0.8854259187185274,0.001,68.41657200828195
72,3,12,0.9514257476481569,0.9478519809710572,0.9554156447893407,0.951618783724661,0.9028514952963139,0.9028514952963139,26101,25883,1436,1218,0.14926970173688683,0.13593930284970587,0.013330399045191132,0.644854253420583,0.312289156626506,0.6403162055335968,0.41982507288629733,0.2863097555211929,0.20548382508318788,648,2604,1427,364,0.9871635254283755,0.001,68.48888071998954
